code,dt,open,high,low,close,vol,amount
301227,2026-03-14 22:25:12.564611,15.050454833755376,15.125707107924152,14.975202559586599,15.050454833755376,7352,36790
301227,2026-03-14 22:36:09.745505,15.07009054750065,15.14544100023815,14.994740094763147,15.07009054750065,7676,82664
301227,2026-03-14 22:38:43.645687,15.136653238224504,15.212336504415624,15.060969972033382,15.136653238224504,9194,34219
301227,2026-03-14 22:39:29.924607,15.086358308438886,15.16179009998108,15.01092651689669,15.086358308438886,5250,53503
301227,2026-03-16 16:34:08.084176,15.076505503546787,15.15188803106452,15.001122976029054,15.076505503546787,8950,30525
301227,2026-03-16 16:35:08.084176,15.058400660181771,15.133692663482678,14.983108656880862,15.058400660181771,2740,68924
301227,2026-03-16 16:36:08.084176,14.919832858216084,14.994432022507164,14.845233693925003,14.919832858216084,2747,64884
301227,2026-03-16 16:37:08.084176,15.01918592857582,15.094281858218697,14.94408999893294,15.01918592857582,8605,31691
301227,2026-03-16 16:38:08.084176,15.113149552460175,15.188715300222475,15.037583804697874,15.113149552460175,1987,58730
301227,2026-03-16 16:39:08.084176,15.077993441482665,15.153383408690077,15.00260347427525,15.077993441482665,2273,86055
301227,2026-03-16 16:40:08.084176,15.085191789476365,15.160617748423745,15.009765830528984,15.085191789476365,3763,49827
301227,2026-03-16 16:41:08.084176,15.071011609165978,15.146366667211806,14.995656551120149,15.071011609165978,1801,24270
301227,2026-03-16 16:42:08.084176,15.130100819833784,15.205751323932951,15.054450315734615,15.130100819833784,2879,93842
301227,2026-03-16 16:43:08.084176,15.046656957265371,15.121890242051697,14.971423672479045,15.046656957265371,8301,87853
301227,2026-03-16 16:44:08.084176,15.057218602475384,15.132504695487759,14.981932509463007,15.057218602475384,8355,89055
301227,2026-03-16 16:45:08.084176,15.045128746627105,15.120354390360239,14.96990310289397,15.045128746627105,6546,15002
301227,2026-03-16 16:46:08.084176,14.955163418606327,15.029939235699358,14.880387601513295,14.955163418606327,3514,31577
301227,2026-03-16 16:47:08.084176,14.812232497767996,14.886293660256834,14.738171335279155,14.812232497767996,8434,53274
301227,2026-03-16 16:48:08.084176,14.762561296364042,14.836374102845861,14.688748489882222,14.762561296364042,5638,40690
301227,2026-03-16 16:49:08.084176,14.729269050208504,14.802915395459545,14.655622704957462,14.729269050208504,1241,69038
301227,2026-03-16 16:50:08.084176,14.625009304267879,14.698134350789216,14.55188425774654,14.625009304267879,2539,56911
301227,2026-03-16 16:51:08.084176,14.75544149062709,14.829218698080224,14.681664283173955,14.75544149062709,9964,54485
